ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
1225_Norman_Niles_#2_entry_rating,1225,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-39-45.mp4,8,1.51,3.15,0.72,2.44,0.96
1225_Norman_Niles_#2_exit_rating,1225,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-39-45.mp4,7,7.42,10.6,4.55,6.05,2.09
1226_Norman_Niles_#2_entry_rating,1226,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-40-45.mp4,11,2.01,5.33,0.23,5.1,1.73
1226_Norman_Niles_#2_exit_rating,1226,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-40-45.mp4,9,6.17,11.29,3.59,7.7,2.18
1227_Norman_Niles_#2_entry_rating,1227,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-41-45.mp4,15,2.16,10.87,0.06,10.81,2.99
1227_Norman_Niles_#2_exit_rating,1227,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-41-45.mp4,13,5.02,10.32,0.2,10.11,2.87
1228_Norman_Niles_#2_entry_rating,1228,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-42-45.mp4,9,1.5,7.23,0.2,7.03,2.17
1228_Norman_Niles_#2_exit_rating,1228,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-42-45.mp4,18,6.66,13.84,1.28,12.56,3.04
1229_Norman_Niles_#2_entry_rating,1229,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-43-45.mp4,18,1.59,8.16,0.07,8.1,2.33
1229_Norman_Niles_#2_exit_rating,1229,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-43-45.mp4,7,6.15,16.69,0.48,16.22,5.47
1230_Norman_Niles_#2_entry_rating,1230,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-44-45.mp4,21,2.29,5.95,0.12,5.83,1.91
1230_Norman_Niles_#2_exit_rating,1230,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-44-45.mp4,16,5.62,8.29,0.96,7.32,2.16
1231_Norman_Niles_#2_entry_rating,1231,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-45-45.mp4,20,1.82,7.42,0.15,7.27,1.96
1231_Norman_Niles_#2_exit_rating,1231,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-45-45.mp4,8,4.28,8.96,0.11,8.84,3.68
1232_Norman_Niles_#2_entry_rating,1232,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-46-45.mp4,15,2.29,6.22,0.41,5.81,1.82
1232_Norman_Niles_#2_exit_rating,1232,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-21-14-46-45.mp4,13,4.47,9.48,0.55,8.93,2.64
1233_Norman_Niles_#2_entry_rating,1233,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-21-14-47-45.mp4,9,3.16,7.7,0.51,7.19,2.33
