ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
1225_Norman_Niles_#4_entry_rating,1225,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-39-45.mp4,7,0.52,1.57,0.11,1.46,0.5
1225_Norman_Niles_#4_exit_rating,1225,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-39-45.mp4,6,9.15,13.26,5.74,7.52,2.78
1226_Norman_Niles_#4_entry_rating,1226,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-40-45.mp4,27,1.03,2.43,0.12,2.31,0.68
1226_Norman_Niles_#4_exit_rating,1226,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-40-45.mp4,9,8.66,10.83,6.53,4.3,1.26
1227_Norman_Niles_#4_entry_rating,1227,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-41-45.mp4,22,1.61,2.8,0.23,2.57,0.67
1227_Norman_Niles_#4_exit_rating,1227,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-41-45.mp4,15,7.99,9.85,2.47,7.38,1.71
1228_Norman_Niles_#4_entry_rating,1228,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-42-45.mp4,18,1.42,3.55,0.5,3.05,0.93
1228_Norman_Niles_#4_exit_rating,1228,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-42-45.mp4,10,9.41,15.02,2.46,12.55,3.34
1229_Norman_Niles_#4_entry_rating,1229,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-43-45.mp4,14,1.05,2.38,0.41,1.96,0.57
1229_Norman_Niles_#4_exit_rating,1229,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-43-45.mp4,14,5.35,11.1,0.27,10.84,3.69
1230_Norman_Niles_#4_entry_rating,1230,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-44-45.mp4,14,1.27,3.57,0.24,3.34,1.12
1230_Norman_Niles_#4_exit_rating,1230,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-44-45.mp4,15,7.76,12.74,0.74,12.0,3.28
1231_Norman_Niles_#4_entry_rating,1231,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-45-45.mp4,5,0.83,1.33,0.41,0.92,0.34
1231_Norman_Niles_#4_exit_rating,1231,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-45-45.mp4,18,7.64,11.94,1.97,9.97,3.47
1232_Norman_Niles_#4_entry_rating,1232,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-46-45.mp4,24,1.64,11.7,0.21,11.5,2.31
1232_Norman_Niles_#4_exit_rating,1232,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-46-45.mp4,12,6.67,9.13,0.38,8.75,3.24
1233_Norman_Niles_#4_entry_rating,1233,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-47-45.mp4,15,1.66,8.03,0.31,7.72,1.94
1233_Norman_Niles_#4_exit_rating,1233,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-47-45.mp4,5,6.38,10.17,1.82,8.35,4.11
1234_Norman_Niles_#4_entry_rating,1234,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-49-45.mp4,6,0.7,1.41,0.13,1.29,0.47
1234_Norman_Niles_#4_exit_rating,1234,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-49-45.mp4,13,6.42,10.79,0.19,10.6,3.67
1235_Norman_Niles_#4_entry_rating,1235,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-50-45.mp4,9,0.68,1.64,0.08,1.56,0.53
1235_Norman_Niles_#4_exit_rating,1235,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-50-45.mp4,16,5.25,11.35,0.08,11.27,3.75
1236_Norman_Niles_#4_entry_rating,1236,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-51-45.mp4,10,1.13,2.26,0.35,1.9,0.68
1236_Norman_Niles_#4_exit_rating,1236,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-51-45.mp4,10,6.55,12.71,0.1,12.61,4.11
1237_Norman_Niles_#4_entry_rating,1237,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-52-45.mp4,17,1.17,2.51,0.4,2.11,0.5
1237_Norman_Niles_#4_exit_rating,1237,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-52-45.mp4,18,6.21,11.49,0.7,10.78,3.86
1238_Norman_Niles_#4_entry_rating,1238,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-53-45.mp4,8,2.2,4.64,0.49,4.15,1.81
1238_Norman_Niles_#4_exit_rating,1238,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-53-45.mp4,10,7.83,11.3,2.41,8.89,3.02
1239_Norman_Niles_#4_entry_rating,1239,Norman Niles #4,ENTRY,normanniles4/normanniles4_2025-10-21-14-54-45.mp4,18,1.73,13.05,0.23,12.81,2.92
1239_Norman_Niles_#4_exit_rating,1239,Norman Niles #4,EXIT,normanniles4/normanniles4_2025-10-21-14-54-45.mp4,11,9.42,16.25,3.3,12.95,3.05
