ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
1062_Norman_Niles_#3_entry_rating,1062,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-49-45.mp4,30,2.53,7.46,0.91,6.55,1.46
1062_Norman_Niles_#3_exit_rating,1062,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-49-45.mp4,22,7.9,11.37,1.11,10.26,2.18
1063_Norman_Niles_#3_entry_rating,1063,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-50-45.mp4,34,3.39,8.38,0.6,7.78,1.5
1063_Norman_Niles_#3_exit_rating,1063,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-50-45.mp4,24,7.82,11.83,4.26,7.58,1.73
1064_Norman_Niles_#3_entry_rating,1064,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-51-45.mp4,38,3.51,9.98,0.84,9.14,1.85
1064_Norman_Niles_#3_exit_rating,1064,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-51-45.mp4,29,6.22,9.96,0.42,9.54,2.87
1065_Norman_Niles_#3_entry_rating,1065,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-52-45.mp4,32,2.69,5.14,0.65,4.49,1.47
1065_Norman_Niles_#3_exit_rating,1065,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-52-45.mp4,24,6.74,14.15,0.22,13.93,3.4
1066_Norman_Niles_#3_entry_rating,1066,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-53-45.mp4,28,2.37,5.96,1.16,4.81,1.18
1066_Norman_Niles_#3_exit_rating,1066,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-53-45.mp4,20,6.55,12.43,0.1,12.33,3.83
1067_Norman_Niles_#3_entry_rating,1067,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-21-11-54-45.mp4,36,2.79,5.96,0.32,5.64,1.48
1067_Norman_Niles_#3_exit_rating,1067,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-21-11-54-45.mp4,22,7.96,10.73,1.29,9.44,2.1
