ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
2623_Norman_Niles_#2_entry_rating,2623,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-11-45.mp4,10,4.23,8.78,1.03,7.75,2.46
2623_Norman_Niles_#2_exit_rating,2623,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-11-45.mp4,10,7.41,10.2,3.56,6.64,1.8
2624_Norman_Niles_#2_entry_rating,2624,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-12-45.mp4,14,1.88,5.26,0.18,5.08,1.5
2624_Norman_Niles_#2_exit_rating,2624,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-12-45.mp4,13,6.79,10.11,5.28,4.84,1.35
2625_Norman_Niles_#2_entry_rating,2625,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-13-45.mp4,19,1.24,5.31,0.08,5.23,1.31
2625_Norman_Niles_#2_exit_rating,2625,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-13-45.mp4,18,7.29,16.8,1.68,15.12,3.39
2626_Norman_Niles_#2_entry_rating,2626,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-14-45.mp4,12,1.53,5.73,0.38,5.34,1.56
2626_Norman_Niles_#2_exit_rating,2626,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-14-45.mp4,12,4.96,7.96,0.41,7.55,2.8
2627_Norman_Niles_#2_entry_rating,2627,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-15-45.mp4,9,2.32,5.6,0.59,5.0,1.98
2627_Norman_Niles_#2_exit_rating,2627,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-15-45.mp4,12,5.31,8.08,0.77,7.31,2.36
2628_Norman_Niles_#2_entry_rating,2628,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-16-45.mp4,8,2.45,4.24,0.66,3.57,1.34
2628_Norman_Niles_#2_exit_rating,2628,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-16-45.mp4,14,4.39,6.82,0.33,6.49,2.06
2629_Norman_Niles_#2_entry_rating,2629,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-17-45.mp4,22,1.84,10.28,0.22,10.06,2.27
2629_Norman_Niles_#2_exit_rating,2629,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-17-45.mp4,11,5.68,15.84,0.12,15.72,4.5
2630_Norman_Niles_#2_entry_rating,2630,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-18-45.mp4,12,1.6,6.14,0.29,5.85,1.62
2630_Norman_Niles_#2_exit_rating,2630,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-18-45.mp4,12,5.38,8.1,0.12,7.98,2.58
2631_Norman_Niles_#2_entry_rating,2631,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-19-45.mp4,10,3.18,16.28,0.61,15.66,4.65
2631_Norman_Niles_#2_exit_rating,2631,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-19-45.mp4,11,5.18,9.69,0.64,9.05,2.52
2632_Norman_Niles_#2_entry_rating,2632,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-20-45.mp4,10,1.6,2.83,0.5,2.33,0.98
2632_Norman_Niles_#2_exit_rating,2632,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-20-45.mp4,11,7.25,10.43,5.19,5.24,1.62
2633_Norman_Niles_#2_entry_rating,2633,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-21-45.mp4,15,2.55,9.85,0.66,9.19,2.21
2633_Norman_Niles_#2_exit_rating,2633,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-21-45.mp4,13,6.62,13.19,4.33,8.86,2.31
2634_Norman_Niles_#2_entry_rating,2634,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-22-45.mp4,8,4.41,9.99,0.16,9.83,3.8
2634_Norman_Niles_#2_exit_rating,2634,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-22-45.mp4,8,5.6,6.43,4.85,1.58,0.49
2635_Norman_Niles_#2_entry_rating,2635,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-23-45.mp4,11,1.82,5.33,0.29,5.04,1.59
2635_Norman_Niles_#2_exit_rating,2635,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-23-14-23-45.mp4,9,5.47,7.82,0.7,7.12,2.16
2636_Norman_Niles_#2_entry_rating,2636,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-23-14-24-45.mp4,16,2.99,12.37,0.68,11.7,2.93
